date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:48	1139/1139	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/jquery-tags-input/jquery-tags-input.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-tags-input/jquery-tags-input.css	(from http://radixtouch.in/hospital/advance_form.html)
16:42:48	17604/17604	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/select2/css/select2.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/select2/css/select2.css	(from http://radixtouch.in/hospital/advance_form.html)
16:42:48	15825/15825	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/select2/css/select2-bootstrap.min.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/select2/css/select2-bootstrap.min.css	(from http://radixtouch.in/hospital/advance_form.html)
16:42:49	5302/5302	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/bootstrap-inputmask/bootstrap-inputmask.min.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-inputmask/bootstrap-inputmask.min.js	(from http://radixtouch.in/hospital/advance_form.html)
16:42:49	33075/33075	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/bootstrap-colorpicker/js/bootstrap-colorpicker.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-colorpicker/js/bootstrap-colorpicker.js	(from http://radixtouch.in/hospital/advance_form.html)
16:42:49	168/168	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/bootstrap-colorpicker/js/bootstrap-colorpicker-init.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-colorpicker/js/bootstrap-colorpicker-init.js	(from http://radixtouch.in/hospital/advance_form.html)
16:42:50	6674/6674	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/jquery-tags-input/jquery-tags-input.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-tags-input/jquery-tags-input.js	(from http://radixtouch.in/hospital/advance_form.html)
16:42:50	934/934	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jquery-tags-input/jquery-tags-input-init.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-tags-input/jquery-tags-input-init.js	(from http://radixtouch.in/hospital/advance_form.html)
16:42:51	141934/141934	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/select2/js/select2.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/select2/js/select2.js	(from http://radixtouch.in/hospital/advance_form.html)
16:42:51	828/828	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/select2/js/select2-init.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/select2/js/select2-init.js	(from http://radixtouch.in/hospital/advance_form.html)
